Date,Open,High,Low,Close,Adj Close,Volume
2019-11-28,14595.332031,14595.332031,14179.312500,14179.312500,14179.312500,5419584
2019-11-29,14213.981445,14248.649414,14040.639648,14179.312500,14179.312500,5059038
2019-12-02,14144.644531,14179.312500,13728.625977,13728.625977,13728.625977,5801547
2019-12-03,13520.616211,13867.298828,13520.616211,13589.953125,13589.953125,5403978
2019-12-04,13659.289063,14213.981445,13555.284180,14179.312500,14179.312500,5621469
2019-12-05,14213.981445,14213.981445,13936.634766,13936.634766,13936.634766,2056564
2019-12-06,13901.966797,14109.976563,13901.966797,14075.308594,14075.308594,2661383
2019-12-09,14005.971680,14109.976563,13971.303711,13971.303711,13971.303711,3327122
2019-12-10,14005.971680,14005.971680,13832.630859,13901.966797,13901.966797,3369105
2019-12-11,13901.966797,13971.303711,13659.289063,13763.293945,13763.293945,3779062
2019-12-12,13797.961914,14040.639648,13797.961914,13971.303711,13971.303711,2753931
2019-12-13,14040.639648,14352.654297,14040.639648,14283.317383,14283.317383,5715258
2019-12-16,14283.317383,14283.317383,14075.308594,14075.308594,14075.308594,2145277
2019-12-17,14109.976563,14248.649414,14040.639648,14040.639648,14040.639648,2436782
2019-12-18,14005.971680,14144.644531,13971.303711,13971.303711,13971.303711,2682310
2019-12-19,14005.971680,14075.308594,13867.298828,13971.303711,13971.303711,2061064
2019-12-20,13971.303711,14179.312500,13936.634766,14109.976563,14109.976563,1632704
2019-12-23,14144.644531,14421.990234,14144.644531,14248.649414,14248.649414,4833918
2019-12-24,14317.986328,14317.986328,14144.644531,14283.317383,14283.317383,1809464
2019-12-25,14213.981445,14421.990234,14213.981445,14283.317383,14283.317383,2055597
2019-12-26,14283.317383,14352.654297,14179.312500,14283.317383,14283.317383,3062585
2019-12-27,14317.986328,14317.986328,14109.976563,14317.986328,14317.986328,2291808
2019-12-30,14352.654297,14630.000000,14317.986328,14595.332031,14595.332031,6987546
2019-12-31,14664.667969,14699.336914,14456.659180,14491.327148,14491.327148,2513380
2020-01-01,null,null,null,null,null,null
2020-01-02,14491.327148,15080.687500,14456.659180,14907.345703,14907.345703,6270304
2020-01-03,15080.687500,15150.023438,14734.004883,14768.672852,14768.672852,5230492
2020-01-06,14699.336914,15046.019531,14630.000000,14803.341797,14803.341797,4576925
2020-01-07,14976.682617,15150.023438,14872.677734,15046.019531,15046.019531,6139046
2020-01-08,14942.014648,15358.033203,14768.672852,15011.350586,15011.350586,94576760
2020-01-09,15150.023438,15670.047852,15150.023438,15566.042969,15566.042969,13545968
2020-01-10,15600.710938,16640.757813,15600.710938,16328.744141,16328.744141,21986732
2020-01-13,16155.403320,16640.757813,16086.066406,16086.066406,16086.066406,7712344
2020-01-14,16120.734375,16502.085938,16086.066406,16294.076172,16294.076172,30651520
2020-01-15,16294.076172,16432.748047,16120.734375,16363.412109,16363.412109,6324013
2020-01-16,16432.748047,17299.455078,16398.080078,17264.787109,17264.787109,11642756
2020-01-17,17472.796875,17611.468750,17056.777344,17299.455078,17299.455078,11138073
2020-01-20,17264.787109,17542.132813,17160.781250,17403.458984,17403.458984,6861350
2020-01-21,17472.796875,17888.814453,17403.458984,17542.132813,17542.132813,8989998
2020-01-22,17542.132813,17854.146484,17368.791016,17750.142578,17750.142578,6846625
2020-01-23,null,null,null,null,null,null
2020-01-24,null,null,null,null,null,null
2020-01-27,null,null,null,null,null,null
2020-01-28,null,null,null,null,null,null
2020-01-29,null,null,null,null,null,null
2020-01-30,17264.787109,17576.800781,16640.757813,16883.435547,16883.435547,16661066
2020-01-31,17056.777344,17507.464844,16918.103516,16918.103516,16918.103516,17574943
2020-02-03,16294.076172,17472.796875,16120.734375,17438.128906,17438.128906,20219438
2020-02-04,17611.468750,18651.517578,17576.800781,18651.517578,18651.517578,21454458
2020-02-05,18998.199219,19275.544922,18408.839844,18408.839844,18408.839844,17021713
2020-02-06,18512.843750,19483.554688,18270.166016,19240.876953,19240.876953,15239592
2020-02-07,19067.535156,19171.541016,18478.175781,18651.517578,18651.517578,12922991
2020-02-10,18200.830078,18928.863281,18166.162109,18443.507813,18443.507813,9068182
2020-02-11,18651.517578,19240.876953,18616.847656,19240.876953,19240.876953,10171151
2020-02-12,19726.232422,19726.232422,18859.525391,18859.525391,18859.525391,15065269
2020-02-13,18963.531250,19136.873047,18374.169922,18894.195313,18894.195313,13709619
2020-02-14,18963.531250,18963.531250,18512.843750,18582.179688,18582.179688,8896569
2020-02-17,18651.517578,18755.521484,18304.833984,18408.839844,18408.839844,8391092
2020-02-18,18512.843750,18894.195313,18443.507813,18512.843750,18512.843750,10458474
2020-02-19,18582.179688,18859.525391,18582.179688,18720.853516,18720.853516,9814975
2020-02-20,18963.531250,19206.208984,18478.175781,18651.517578,18651.517578,12996214
2020-02-21,18582.179688,18651.517578,17784.810547,17923.484375,17923.484375,17414451
2020-02-24,17403.458984,17611.468750,16883.435547,16918.103516,16918.103516,18341249
2020-02-25,16918.103516,18096.824219,16883.435547,18096.824219,18096.824219,14082194
2020-02-26,17715.474609,18166.162109,17611.468750,17888.814453,17888.814453,9339569
2020-02-27,17854.146484,18166.162109,17750.142578,18166.162109,18166.162109,8786973
2020-02-28,17680.806641,18062.156250,17334.123047,17854.146484,17854.146484,11531285
2020-03-02,17992.820313,18062.156250,17611.468750,17680.806641,17680.806641,7058288
2020-03-03,18166.162109,18686.185547,17992.820313,18339.501953,18339.501953,13819720
